,CUSTOMER_ADDRESS_ID,PERCENT_OF_ORDER_ELIGIBLE,COST_SAVINGS_PERCENT,PRICE_SAVINGS_PERCENT,COMPARABLE_ACTUAL_TOTAL_COST_,PARENT_TOTAL_COST_,COMPARABLE_ACTUAL_TOTAL_PRICE_,PARENT_TOTAL_PRICE_
41643,300281f9fa65a054c58516821d1979fc,0.40,1.0,0.85,70.08000000000001,70.15,82.75,70.15
41644,8c6243b6ef5b15e76b7a15a70e50f1ba,0.80,1.01,0.98,110.74000000000001,111.74,113.94000000000001,111.74
41645,048c01dcf3961a1363cd2531e1924a38,0.60,0.9,0.75,24.14,21.639999999999997,28.74,21.639999999999997
41646,03820d01cffe9bec33ae0f8fbe550bf4,0.30,1.0,0.86,65.37,65.09,75.63,65.09
41647,3435d2ef2c38faeef4bc6f309fbb442c,0.50,1.0,0.84,83.98,83.62,99.32000000000001,83.62
41648,9b48f8e0c0f57f93da6ae190a22d64b6,0.33,0.97,1.11,49.31,47.61,42.910000000000004,47.61
41649,cd629e8490e76385a0a2d3b2431bee2f,0.14,1.07,1.07,5.99,6.39,5.99,6.39
41650,2ad1d63b24feec6c38e87f3cbc569d88,0.43,0.75,0.75,69.47,51.97,69.47,51.97
41651,d7decc42be3412632f3e92b3f5194db6,0.33,1.06,0.96,11.47,12.17,12.670000000000002,12.17
41652,ca08e7ef1bb0f3588cef2ec099cf8f00,0.13,1.07,0.9299999999999999,23.34,24.94,26.939999999999998,24.94
41653,1739f753490ec00fae4f0eca8b109c78,0.20,1.04,1.16,11.379999999999999,11.780000000000001,10.18,11.780000000000001
41654,7336cd87dabdf8ef5dc16b3dc4f99f1a,0.30,0.9299999999999999,0.79,30.25,28.12,35.62,28.12
41655,b98dbaabb6f05faf71300fade927dfc9,0.11,1.04,1.04,8.19,8.49,8.19,8.49
41656,a411ebd548eabaa9210d10e9a1a0a67f,0.11,1.0,1.2,8.38,8.38,6.98,8.38
41657,153fa9ef97625224253737fb92dbd74e,0.20,1.08,1.09,10.65,11.450000000000001,10.47,11.450000000000001
41659,5934061049e3f0bd34c713d4a395b771,0.07,0.77,0.64,4.69,3.59,5.59,3.59
41660,03b5aa1500ea064eb8192c6c31880030,0.56,1.28,1.13,51.07000000000001,65.47,57.97,65.47
41661,a8131258cc1051db755b1333d04867f6,0.33,0.97,0.8200000000000001,122.88000000000001,118.85999999999999,144.35999999999999,118.85999999999999
41662,b1b351bc0980b85df07ba61fee334474,0.33,0.9,1.06,19.97,18.07,16.990000000000002,18.07
41663,34a2049102be98b6d027b3172891a652,0.25,0.98,0.84,26.55,26.140000000000004,31.040000000000006,26.140000000000004
41664,7fce0e1b9ff2f98bb2c67d7d50a5a9d0,0.38,1.1,0.94,16.07,17.67,18.869999999999997,17.67
41665,4d80abe69dc5b690810c9b7bc0ab4d5b,0.18,0.99,0.88,14.32,14.22,16.119999999999997,14.22
41666,ce916dc949c78282ec6ca0be8db7e5d8,0.21,1.03,0.87,61.269999999999996,63.05,72.55,63.05
41667,c7ef82242cbcff666d41272280be3111,0.17,0.98,0.83,4.89,4.79,5.79,4.79
41668,9bd4307e50bcdb48bda583d8e66a8163,0.13,1.01,0.85,27.68,27.98,32.78,27.98
41669,e2808cd91c43443607ab8e81608d428f,0.47,0.99,0.84,81.56,81.02000000000001,96.12,81.02000000000001
41670,74640082d8f2c8d6620122202f9567ff,0.67,0.77,0.77,12.18,9.38,12.18,9.38
41671,1a8477edb7f97e436c85a864085dcc7c,0.20,0.99,0.85,25.970000000000002,25.770000000000003,30.27,25.770000000000003
41672,cab9739b1d741704e5634ed4e303e713,0.22,1.0,1.13,43.230000000000004,43.230000000000004,38.25,43.230000000000004
41673,a0a1ee0ef6650ce5d406b5a1041a5a5e,0.28,0.99,0.85,38.720000000000006,38.32000000000001,45.12,38.32000000000001
41674,0fd0c127aa6d5f314ce7bbfe2411b0af,0.22,0.97,0.83,7.88,7.68,9.28,7.68
41675,f3a536f69e3b203e69b6a9883aea558d,0.21,0.94,0.87,33.07,30.97,35.77,30.97
41676,2ff893dfd499a4a831f8712a13159630,0.37,0.94,0.97,81.74000000000001,76.97999999999999,79.66,76.97999999999999
41677,b1c258194d708e873817136efddb7519,0.16,0.98,0.97,20.66,20.16,20.759999999999998,20.16
41679,d8d01922504bb093632424dea3348fbd,0.36,1.02,1.0,31.71,32.35,32.25,32.35
